REGION,SETTLEMENTDATE,TOTALDEMAND,RRP,PERIODTYPE
VIC1,2026/06/01 00:05:00,5286.32,38,TRADE
VIC1,2026/06/01 00:10:00,5303.98,57.27,TRADE
VIC1,2026/06/01 00:15:00,5278.97,59.50,TRADE
VIC1,2026/06/01 00:20:00,5248.96,66.75,TRADE
VIC1,2026/06/01 00:25:00,5235.87,56.40,TRADE
VIC1,2026/06/01 00:30:00,5207.22,48.33,TRADE
VIC1,2026/06/01 00:35:00,5084.65,58.41,TRADE
VIC1,2026/06/01 00:40:00,5130.46,48.44,TRADE
VIC1,2026/06/01 00:45:00,5104.86,56.11,TRADE
VIC1,2026/06/01 00:50:00,5104.22,54.84,TRADE
VIC1,2026/06/01 00:55:00,5087.52,49.21,TRADE
VIC1,2026/06/01 01:00:00,5064.73,49.57,TRADE
VIC1,2026/06/01 01:05:00,5056.4,58.39,TRADE
VIC1,2026/06/01 01:10:00,5030.21,56.63,TRADE
VIC1,2026/06/01 01:15:00,4939.46,49.52,TRADE
VIC1,2026/06/01 01:20:00,4894.07,44.65,TRADE
VIC1,2026/06/01 01:25:00,4959.75,48.81,TRADE
VIC1,2026/06/01 01:30:00,4935.57,48.83,TRADE
VIC1,2026/06/01 01:35:00,4837.18,48.13,TRADE
VIC1,2026/06/01 01:40:00,4872.93,48.52,TRADE
VIC1,2026/06/01 01:45:00,4837.02,43.11,TRADE
VIC1,2026/06/01 01:50:00,4829.12,38,TRADE
VIC1,2026/06/01 01:55:00,4805.46,35.97,TRADE
VIC1,2026/06/01 02:00:00,4730.54,35.97,TRADE
VIC1,2026/06/01 02:05:00,4703.93,38,TRADE
VIC1,2026/06/01 02:10:00,4698.12,35.97,TRADE
VIC1,2026/06/01 02:15:00,4689.15,38,TRADE
VIC1,2026/06/01 02:20:00,4689.93,33.98,TRADE
VIC1,2026/06/01 02:25:00,4720.19,38,TRADE
VIC1,2026/06/01 02:30:00,4707.75,35.97,TRADE
VIC1,2026/06/01 02:35:00,4689.39,38,TRADE
VIC1,2026/06/01 02:40:00,4592.9,37.99,TRADE
VIC1,2026/06/01 02:45:00,4648.37,35.97,TRADE
VIC1,2026/06/01 02:50:00,4646.33,38,TRADE
VIC1,2026/06/01 02:55:00,4622.81,35.97,TRADE
VIC1,2026/06/01 03:00:00,4518.25,32.98,TRADE
